GuessSync ANIMALS2 - "Guess the Animal v2" - Image Attributions
100 real animal photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-11. Format:  slug | name | author | license | source
rat | Rat | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Brown_rat_(Rattus_norvegicus)_Drenthe_2.jpg
bat | Bat | SMBishop | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Little_Brown_Myotis_(cropped).JPG
goat | Goat | Kuebi = Armin Kübelbeck | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Hausziege_04.jpg
donkey | Donkey | Adrian Pingstone | Public domain | https://commons.wikimedia.org/wiki/File:Donkey_in_Clovelly,_North_Devon,_England.jpg
buffalo | Water Buffalo | Alexander Vasenin | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Water_buffalo_at_Rinca.jpg
beaver | Beaver | Steve from Washington, DC, USA | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:American_Beaver.jpg
skunk | Skunk | Wallace Keck | Public domain | https://commons.wikimedia.org/wiki/File:Skunk_about_to_spray.jpg
reindeer | Reindeer | Are G Nilsen | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Reinbukken_p%C3%A5_frisk_gr%C3%B8nt_beite._-_panoramio.jpg
elk | Elk | Membeth | CC0 | https://commons.wikimedia.org/wiki/File:Jasper.Wapiti-Hirsch.P1033401.jpg
hamster | Hamster | Adamjennison111 at English Wikipedia | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:Golden_hamster_front_1.jpg
mole | Mole | Didier Descouens | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Talpa_europaea_MHNT.jpg
wildboar | Wild Boar | Valentin Panzirsch | CC BY-SA 3.0 at | https://commons.wikimedia.org/wiki/File:Wildschwein,_N%C3%A4he_Pulverstampftor_(cropped).jpg
badger | Badger | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:European_badger_(Meles_meles_taxus)_Drenthe.jpg
chipmunk | Chipmunk | Rhododendrites | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Chipmunk_with_stuffed_cheeks_in_Prospect_Park_(05980).jpg
gazelle | Gazelle | Diego Delso | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Gacela_de_Thomson_(Eudorcas_thomsonii),_parque_nacional_de_Amboseli,_Kenia,_2024-05-23,_DD_11.jpg
pronghorn | Pronghorn | www.naturespicsonline.com | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Antilocapra_americana.jpg
warthog | Warthog | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Southern_warthog_(Phacochoerus_africanus_sundevallii)_male.jpg
coyote | Coyote | Yathin S Krishnappa | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:2009-Coyote-Yosemite.jpg
jackal | Jackal | Giles Laurent | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:135_Black-backed_jackal_hunting_for_food_at_Cape_cross_Photo_by_Giles_Laurent.jpg
hare | Hare | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:European_hare_(Lepus_europaeus)_Marken_2.jpg
weasel | Weasel | Keven Law | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Mustela_nivalis_-British_Wildlife_Centre-4.jpg
ferret | Ferret | Aurélien Mora | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Mustela_putorius_furo_profile.JPG
wolverine | Wolverine | Esquilo | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:J%C3%A4rv1.jpg
opossum | Opossum | Cody Pope | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Opossum_2.jpg
wallaby | Wallaby | Noodle snacks (https://www.jjharrison.com.au/)Bennett's Wallaby) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Macropus_rufogriseus_rufogriseus_Bruny.jpg
tasmaniandevil | Tasmanian Devil | JJ Harrison (https://www.jjharrison.com.au/) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Sarcophilus_harrisii_taranna.jpg
cougar | Cougar | National Park Service | Public domain | https://commons.wikimedia.org/wiki/File:Mountain_Lion_in_Glacier_National_Park.jpg
snowleopard | Snow Leopard | Irbis1983 | Public domain | https://commons.wikimedia.org/wiki/File:Irbis4.JPG
bobcat | Bobcat | Becker1999 (Paul and Cathy) | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Bobcat_at_Columbus_Zoo_Boo.jpg
muskox | Musk Ox | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Muskox_(Ovibos_moschatus)_male_Dovrefjell_4.jpg
yak | Yak | Alexandr frolov | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Sarlyk_Yak2.jpg
alpaca | Alpaca | KKPCW | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Alpaca_in_Higashiyama_Zoo_-_1.jpg
oryx | Oryx | Charles J. Sharp | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Arabian_oryx_(oryx_leucoryx).jpg
impala | Impala | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Impala_(Aepyceros_melampus)_male_Kruger.jpg
springbok | Springbok | Giles Laurent | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:174_Male_Springbok_in_Etosha_National_Park_Photo_by_Giles_Laurent.jpg
kudu | Kudu | L0k1m0nk33 at English Wikipedia | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Male_greater_kudu.jpg
flyingfox | Flying Fox | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Polynesian_flying_fox_(Pteropus_tonganus)_in_flight_Taveuni.jpg
chinchilla | Chinchilla | Guérin Nicolas (messages) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Chinchilla_lanigera_(Wroclaw_zoo)-2.JPG
guineapig | Guinea Pig | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:George_the_amazing_guinea_pig.jpg
serval | Serval | Diego Delso | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Servalcropped.png
ocelot | Ocelot | Giles Laurent | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:016_Ocelot_in_Encontro_das_%C3%81guas_State_Park_Photo_by_Giles_Laurent.jpg
cloudedleopard | Clouded Leopard | Rushenb | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Neofelis_nebulosa,_Clouded_leopard.jpg
fennecfox | Fennec Fox | Drew Avery | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Fennec_Fox_Vulpes_zerda.jpg
arcticfox | Arctic Fox | Jonathen Pie https://unsplash.com/@r3dmax | CC0 | https://commons.wikimedia.org/wiki/File:Vulpes_lagopus_in_Iceland_(cropped_3).jpg
dingo | Dingo | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Dingo_(Canis_lupus_dingo)_Kakadu_2.jpg
honeybadger | Honey Badger | Sumeet Moghe | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Honey_Badger.jpg
stoat | Stoat | Marton Berntsen, crop by User:MPF | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:R%C3%B8yskatt_(Mustela_erminea_erminea),_Lista,_Norway.jpg
mink | Mink | Needsmoreritalin | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:MinkforWiki.jpg
sugarglider | Sugar Glider | patrickkavanagh | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Sugar_Glider_(Petaurus_breviceps)_-_29363699442.jpg
bilby | Bilby | Dcoetzee | Public domain | https://commons.wikimedia.org/wiki/File:Bilby_at_Sydney_Wildlife_World.jpg
quoll | Quoll | pimelea | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Dasyurus_maculatus_398569942.jpg
bandicoot | Bandicoot | JJ Harrison | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Long-nosed_Bandicoot_0059.jpg
mara | Mara | Hugo Hulsberg | CC0 | https://commons.wikimedia.org/wiki/File:Dolichotis_patagonum_99386074.jpg
agouti | Agouti | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Central_American_agouti_(Dasyprocta_punctata)_Paz_de_las_Aves.jpg
nutria | Nutria | Petar Milošević | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Myocastor_coypus_02.jpg
prairiedog | Prairie Dog | Christian Ursilva from København, Danmark | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Cynomys_ludovicianus_(54906540630).jpg
groundhog | Groundhog | Cephas | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Marmota_monax_UL_04.jpg
flyingsquirrel | Flying Squirrel | Judy Gallagher | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Southern_Flying_Squirrel_-_Glaucomys_volans,_Arlington,_Virginia,_December_22,_2020_(53406816432).jpg
nakedmolerat | Naked Mole Rat | Roman Klementschitz, Wien | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Nacktmull.jpg
tenrec | Tenrec | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Tanrek.jpg
elephantshrew | Elephant Shrew | Joey Makalintal from Pennsylvania, USA | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Rhynchocyon_petersi_from_side.jpg
dikdik | Dik-dik | Yathin S Krishnappa | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Madoqua_kirkii_-_male_(Namutoni).jpg
klipspringer | Klipspringer | Munificent | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:Klipspringer.jpg
duiker | Duiker | Farid AMADOU BAHLEMAN | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:C%C3%A9phalophe_de_grimm,_crop.jpg
pallascat | Pallas's Cat | Sander van der Wel | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Manoel.jpg
sandcat | Sand Cat | Payman sazesh | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Persian_sand_CAT.jpg
fishingcat | Fishing Cat | Kelinahandbasket | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Prionailurus_viverrinus_01.jpg
aardwolf | Aardwolf | Stefan Haag | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Aardwolf,_Buffalo_Springs_National_Park,_Kenya_1_(cropped).jpg
kinkajou | Kinkajou | Dick Culbert from Gibsons, B.C., Canada | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Potos_flavus_(8973438737).jpg
saola | Saola | The original uploader was Silviculture at Vietnamese Wikipedia. | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pseudoryx_nghetinhensis,_b.PNG
bongo | Bongo | Charles Miller from Basingstoke, United Kingdom | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Tragelaphus_eurycerus_-Marwell_Wildlife,_Hampshire,_England-8a.jpg
nyala | Nyala | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Nyala_(Tragelaphus_angasii)_male_Maputo.jpg
sitatunga | Sitatunga | User:Løken | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Sitatunga_at_Oji_Zoo.JPG
addax | Addax | HaytemBouchri93 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:A_big_male_Addax_showing_as_the_power_of_his_horns.jpg
gemsbok | Gemsbok | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Gemsbok_(Oryx_gazella)_male.jpg
blackbuck | Blackbuck | Mr Raja Purohit | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Blackbuck_male_female.jpg
nilgai | Nilgai | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Nilgai_(Boselaphus_tragocamelus)_male.jpg
anoa | Anoa | Sakurai Midori | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Anoa_Bubalus_depressicornis_Surabaya_Zoo.jpg
banteng | Banteng | Buyung Sukananda | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Banteng_Alas_Purwo.jpg
tamaraw | Tamaraw | LaDez | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Bubalus_mindorensis_by_Gregg_Yan_01.jpg
pudu | Pudu | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Southern_pudu_(Pudu_puda)_male_Chiloe.jpg
muntjac | Muntjac | tontantravel | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Northern_Red_Muntjac,_Muntiacus_vaginalis_in_Khao_Yai_national_park_(24073673163).jpg
chevrotain | Chevrotain | Uspn (Bjørn Christian Tørrissen). | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Mouse-deer_Singapore_Zoo_2012.JPG
tahr | Himalayan Tahr | Original: Pratap Gurung Derivative work: UnpetitproleX | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Himalayan_Tahr_at_Sagarmatha_National_Park,_Nepal_01.jpg
argali | Argali | James Eaton | CC0 | https://commons.wikimedia.org/wiki/File:Ovis_ammon_(cropped).jpg
serow | Serow | Kei hashi | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Nihonkamoshika-akita.JPG
goral | Goral | Robert Lawton at English Wikipedia | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Nemorhaedus_caudatus.jpg
chamois | Chamois | Giles Laurent | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:064_Wild_Chamois_Parc_r%C3%A9gional_Chasseral_Photo_by_Giles_Laurent.jpg
mouflon | Mouflon | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Cyprus_mouflon_(Ovis_gmelini_ophion).jpg
