# CARS v2 — «Guess the Car» — image attributions (Wikimedia Commons, free licenses only)
# format: slug|title|author|license|url
ford-escort-rs|File:073 Ford Escort RS2000 Mk2.jpg|Herodotptlomeu|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:073_Ford_Escort_RS2000_Mk2.jpg
renault-5-turbo|File:1985 Renault 5 Turbo 2 3-door hatchback (19290331623).jpg|Jeremy from Sydney, Australia|CC BY 2.0|https://commons.wikimedia.org/wiki/File:1985_Renault_5_Turbo_2_3-door_hatchback_(19290331623).jpg
opel-manta|File:Opel Manta 02b Foto MSp 2006-10-13.jpg|Martina Spurzem|CC BY-SA 2.0 de|https://commons.wikimedia.org/wiki/File:Opel_Manta_02b_Foto_MSp_2006-10-13.jpg
porsche-959|File:Porsche 959 Rothmans IMG 0677.jpg|Alexander Migl|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Porsche_959_Rothmans_IMG_0677.jpg
porsche-550-spyder|File:Porsche 550 A, Bj. 1956, vorn (2018-06-30 Sp).JPG|Lothar Spurzem|CC BY-SA 2.0 de|https://commons.wikimedia.org/wiki/File:Porsche_550_A,_Bj._1956,_vorn_(2018-06-30_Sp).JPG
nissan-silvia|File:2001 Nissan Silvia S15.jpg|Calreyn88|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:2001_Nissan_Silvia_S15.jpg
mazda-cosmo|File:1967 mazda cosmo sport 1.jpg|Taisyo, noted in original article|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:1967_mazda_cosmo_sport_1.jpg
toyota-ae86|File:Sprinter Trueno 1600 GT (AE86).jpg|Tao280m|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Sprinter_Trueno_1600_GT_(AE86).jpg
honda-integra-type-r|File:1996 Honda Integra Type R in White, front left.jpg|Mr.choppers|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:1996_Honda_Integra_Type_R_in_White,_front_left.jpg
mitsubishi-3000gt|File:Mitsubishi 3000GT VR4.jpg|Jacob Frey 4A|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Mitsubishi_3000GT_VR4.jpg
datsun-510|File:Datsun 510 Sherwood.jpg|Calreyn88|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Datsun_510_Sherwood.jpg
aston-martin-db4|File:1960 Aston Martin DB4 Coupe.jpg|MrWalkr|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:1960_Aston_Martin_DB4_Coupe.jpg
jaguar-xj220|File:Jaguar XJ220 1997 - side.jpg|DeFacto|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Jaguar_XJ220_1997_-_side.jpg
ford-rs200|File:White Ford RS200.jpg|MrWalkr|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:White_Ford_RS200.jpg
chevrolet-chevelle|File:Chevrolet Chevelle SS 454 1970 01.jpg|RL GNZLZ|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Chevrolet_Chevelle_SS_454_1970_01.jpg
cizeta-v16t|File:Cizeta-Moroder V16T - Concorso Italiano 2003 - fvr.jpg|Craig Howell from San Carlos, CA, USA|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Cizeta-Moroder_V16T_-_Concorso_Italiano_2003_-_fvr.jpg
isdera-imperator|File:Isdera Imperator 108i IAA 2021 1X7A0188.jpg|Alexander Migl|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Isdera_Imperator_108i_IAA_2021_1X7A0188.jpg
autozam-az1|File:Autozam AZ-1 at the Mazda-Museum Augsburg - Front view with open doors.jpg|Tobias ToMar Maier|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Autozam_AZ-1_at_the_Mazda-Museum_Augsburg_-_Front_view_with_open_doors.jpg
suzuki-cappuccino|File:Suzuki Cappuccino front 20090514.jpg|Rudolf Stricker|Attribution|https://commons.wikimedia.org/wiki/File:Suzuki_Cappuccino_front_20090514.jpg
honda-beat|File:HondaBeat.jpg|dave_7|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:HondaBeat.jpg
jensen-ff|File:Jensen FF 1968 - front.jpg|DeFacto|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Jensen_FF_1968_-_front.jpg
panther-deville|File:Panther de Viille V12 1982.JPG|Charles01|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Panther_de_Viille_V12_1982.JPG
reliant-robin|File:London (UK), Reliant Robin -- 2010 -- 1992.jpg|Dietmar Rabich|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:London_(UK),_Reliant_Robin_--_2010_--_1992.jpg
bond-bug|File:Bond Bug, CAC 414J, Lincoln Castle.jpg|Photograph by Mike Peel (www.mikepeel.net).|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Bond_Bug,_CAC_414J,_Lincoln_Castle.jpg
marcos-mantis|File:1997 Marcos Mantis HCC23.jpg|MrWalkr|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:1997_Marcos_Mantis_HCC23.jpg
bitter-sc|File:SC06 Bitter SC Sedan and Cabriolet.jpg|Brett Weinstein (Wikipedia User: Nrbelex)|CC BY-SA 2.5|https://commons.wikimedia.org/wiki/File:SC06_Bitter_SC_Sedan_and_Cabriolet.jpg
melkus-rs1000|File:Melkus RS 1000 Classic-Gala 2021 1X7A0093.jpg|Alexander Migl|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Melkus_RS_1000_Classic-Gala_2021_1X7A0093.jpg
alpine-a310|File:Prichsenstadt Renault Alpine A310-20230423-RM-172242.jpg|Ermell|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Prichsenstadt_Renault_Alpine_A310-20230423-RM-172242.jpg
simca-1000|File:SIMCA Rallye 2 Sachs Franken Classic 2018 P5201334.jpg|Ermell|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:SIMCA_Rallye_2_Sachs_Franken_Classic_2018_P5201334.jpg
tatra-700|File:Tatra 700 M97.JPG|Miloš700|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Tatra_700_M97.JPG
moskvitch-412|File:Байконур, Москвич-412 во дворе 8 Марта 5.jpg|Nikolai Bulykin|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:%D0%91%D0%B0%D0%B9%D0%BA%D0%BE%D0%BD%D1%83%D1%80,_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B8%D1%87-412_%D0%B2%D0%BE_%D0%B4%D0%B2%D0%BE%D1%80%D0%B5_8_%D0%9C%D0%B0%D1%80%D1%82%D0%B0_5.jpg
syrena-105|File:FSM Syrena 105 MnW 03.jpg|Zala|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:FSM_Syrena_105_MnW_03.jpg
zil-114|File:1972 Лимузин ЗИЛ-114 (СССР) , Zil-114 Limousine (USSR) - Flickr - denizen24.jpg|denizen24|CC BY 2.0|https://commons.wikimedia.org/wiki/File:1972_%D0%9B%D0%B8%D0%BC%D1%83%D0%B7%D0%B8%D0%BD_%D0%97%D0%98%D0%9B-114_(%D0%A1%D0%A1%D0%A1%D0%A0)_,_Zil-114_Limousine_(USSR)_-_Flickr_-_denizen24.jpg
lada-niva|File:Lada Niva, Sabir (P1090298).jpg|Matti Blume|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Lada_Niva,_Sabir_(P1090298).jpg
ac-428|File:1969 AC Frua 428.jpg|Calreyn88|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:1969_AC_Frua_428.jpg
tatra-87|File:Tatra 87 front (Foto Hilarmont).JPG|Hilarmont|CC BY-SA 3.0 de|https://commons.wikimedia.org/wiki/File:Tatra_87_front_(Foto_Hilarmont).JPG
skoda-110r|File:Škoda 110 R 1977.jpg|Luboš Balcar|CC BY 3.0|https://commons.wikimedia.org/wiki/File:%C5%A0koda_110_R_1977.jpg
autobianchi-a112|File:Würgauer Bergrennen Autobianchi A112 Abarth-20220911-RM-115251.jpg|Ermell|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:W%C3%BCrgauer_Bergrennen_Autobianchi_A112_Abarth-20220911-RM-115251.jpg
daf-44|File:DAF 44.jpg|joost j. bakker from ijmuiden, the netherlands|CC BY 2.0|https://commons.wikimedia.org/wiki/File:DAF_44.jpg
puma-gte|File:Puma gte 1970 mod2.JPG|Dock|Public domain|https://commons.wikimedia.org/wiki/File:Puma_gte_1970_mod2.JPG
