GuessSync — «Guess the Landmark» v2 — image attributions (Wikimedia Commons, free licenses).
slug	name	author	license	source
kamakurabuddha	Kamakura Buddha	663highland	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:230128_Kamakura_Daibutsu_Japan04s3.jpg
sugarloaf	Sugarloaf Mountain	Arne Müseler	CC BY-SA 3.0 de	https://commons.wikimedia.org/wiki/File:P%C3%A3o_de_A%C3%A7ucar_-_Sugarloaf_Mountain_-_Zuckerhut_-_2022.jpg
peritomoreno	Perito Moreno	Fernando	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Perito_Moreno_Glacier_2023.jpg
teotihuacan	Teotihuacan	Ricardo David Sánchez	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Teotihuac%C3%A1n-5973.JPG
chrysler	Chrysler Building	Carlos Delgado	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Chrysler_Building_-_05.jpg
brooklynbridge	Brooklyn Bridge	Christian David	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Brooklyn_Bridge_and_the_Lower_Manhattan_skyline_from_Pebble_Beach,_New_York.jpg
spaceneedle	Space Needle	Jordon Kalilich	Public domain	https://commons.wikimedia.org/wiki/File:Space_Needle_2011-07-04.jpg
gatewayarch	Gateway Arch	St_Louis_night_expblend.jpg: Daniel Schwen derivative work: ←fetchcomms	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:St_Louis_night_expblend_cropped.jpg
lincolnmemorial	Lincoln Memorial	Martin Falbisoner	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Lincoln_Memorial_east_side.JPG
toweroflondon	Tower of London	[Duncan] from Nottingham, UK	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Tower_of_London_from_the_Shard_(8515883950).jpg
meteora	Meteora	Stathis floros	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Meteora%27s_monastery_2.jpg
pontevecchio	Ponte Vecchio	Ingo Mehling	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Ponte_Vecchio_from_Ponte_alle_Grazie.jpg
alberobello	Alberobello Trulli	MPhernambucq	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Street_with_trulli_Alberobello.jpg
cinqueterre	Cinque Terre	Bruno Rijsman	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Cinque_Terre_(Italy,_October_2020)_-_24_(50543603956).jpg
chambord	Chambord Castle	Ввласенко	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Ch%C3%A2teau_de_Chambord._France.jpg
predjama	Predjama Castle	Lettkemann	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:H%C3%B6hlenburg_Predjama_in_Slovenien.jpg
plitvice	Plitvice Lakes	Zysko serhii	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:View_in_Plitvice_Lakes_National_Park.jpg
rila	Rila Monastery	Raggatt2000	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Rila_Monastery,_August_2013.jpg
peles	Peles Castle	Myrabella	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:01_Chateau_Peles.jpg
fishermansbastion	Fisherman's Bastion	Brian Adamson	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Hal%C3%A1szb%C3%A1stya_2017.jpg
malbork	Malbork Castle	Gregy	CC BY-SA 3.0 pl	https://commons.wikimedia.org/wiki/File:Zesp%C3%B3%C5%82_Zamku_Krzy%C5%BCackiego_MALBORK_01.jpg
savioronblood	Savior on Blood	Je-str	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Auferstehungskirche_(Sankt_Petersburg).JPG
pamukkale	Pamukkale	Biologg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Pamukkale,_Denizli_2026_68.jpg
cappadocia	Cappadocia	Arian Zwegers from Brussels, Belgium	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Cappadocia_balloon_trip,_Ortahisar_Castle_(11893715185).jpg
wadirum	Wadi Rum	Daniel Case	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Mountain_in_Wadi_Rum,_Jordan.jpg
persepolis	Persepolis	Diego Delso	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Pers%C3%A9polis,_Ir%C3%A1n,_2016-09-24,_DD_53.jpg
goldenrock	Golden Rock	Unknown	Attribution	https://commons.wikimedia.org/wiki/File:Golden_Rock.JPG
batucaves	Batu Caves	Chainwit.	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Batu_Caves_stairs_2022-05.jpg
prambanan	Prambanan	Christopher Michel	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Prambanan_Temple_Yogyakarta_Indonesia.jpg
tanahlot	Tanah Lot	Grayswoodsurrey	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:TanahLot_2014.JPG
chocolatehills	Chocolate Hills	Vyacheslav Argenberg	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Bohol_Hills,_Chocolate_Hills,_Philippines.jpg
leshanbuddha	Leshan Buddha	xiquinhosilva	CC BY 2.0	https://commons.wikimedia.org/wiki/File:36275-Leshan_(49067653383).jpg
guggenheimbilbao	Guggenheim Bilbao	Naotake Murayama	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Museo_Guggenheim,_Bilbao_(31273245344).jpg
segoviaalcazar	Segovia Alcazar	Ángel Sanz de Andrés	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Panor%C3%A1mica_Oto%C3%B1o_Alc%C3%A1zar_de_Segovia.jpg
diocletian	Diocletian's Palace	Dennis G. Jarvis	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Croatia-01239_-_The_Peristil_(9551533404).jpg
vardzia	Vardzia	Alexkom000	CC BY 4.0	https://commons.wikimedia.org/wiki/File:2025-05-25_Vardzia_9.jpg
tatev	Tatev Monastery	Armenak Margarian	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Tatev_Monastery_23-06-2018.jpg
bandeamir	Band-e Amir	USAID	Public domain	https://commons.wikimedia.org/wiki/File:Afghanistan%27s_Grand_Canyon.jpg
chandbaori	Chand Baori	Chainwit.	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Chand_Baori_perspective_panorama_(July_2022).jpg
ninearchbridge	Nine Arch Bridge	MichaelJames2468	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:The_Nine_Arches_Bridge.jpg
kelimutu	Kelimutu	LukeTriton	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Kelimutu_Crater_Lake.jpg
danxia	Zhangye Danxia	H2v5o68z	CC0	https://commons.wikimedia.org/wiki/File:Zhangye_National_Geopark_5.jpg
roraima	Mount Roraima	Paolo Costa Baldi	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Roraima3_(79).JPG
marblecaves	Marble Caves	Wescottm	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Cuevas_de_M%C3%A1rmol_(Marble_Caves),_Patagonia,_Chile.jpg
canocristales	Cano Cristales	Astromario	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Ca%C3%B1o_Cristales_01.jpg
rainbowmountain	Rainbow Mountain	Diego Aldrin Abanto Ricce	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Monta%C3%B1aarcoirisperuabanto.jpg
semucchampey	Semuc Champey	Christopher Crouzet	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Semuc_Champey,_Guatemala.jpg
giantscauseway	Giant's Causeway	code poet on flickr.	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Causeway-code_poet-4.jpg
eileandonan	Eilean Donan	Diliff	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Eilean_Donan_Castle,_Scotland_-_Jan_2011.jpg
preikestolen	Preikestolen	Clementp.fr	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Lyse_Fjord_et_Preikestolen.jpg
kronborg	Kronborg Castle	Artico2	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Kronborg_002.JPG
suomenlinna	Suomenlinna	Migro	Public domain	https://commons.wikimedia.org/wiki/File:Suomenlinna_aerial.JPG
belogradchik	Belogradchik Rocks	Yanko Malinov	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Belogradchik_Fortress_Entrance.jpg
ostrog	Ostrog Monastery	Diego Delso	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Monasterio_de_Ostrog,_Montenegro,_2014-04-14,_DD_14.JPG
rozafa	Rozafa Castle	Bdx	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Rozafa_Castle_in_July_2013_(5).JPG
greatzimbabwe	Great Zimbabwe	Andrew Moore from Johannesburg, South Africa	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Conical_Tower_-_Great_Enclosure_III_(33736918448).jpg
aitbenhaddou	Ait Ben Haddou	Petar Milošević	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Ksar_A%C3%AFt_Benhaddou,_Marocco_(%D8%A3%D9%8A%D8%AA_%D8%A8%D9%86_%D8%AD%D8%AF%D9%88%D8%8C_%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8,_%E2%B4%B0%E2%B5%A2%E2%B5%9C_%E2%B5%83%E2%B4%B0%E2%B4%B7%E2%B4%B7%E2%B5%93).jpg
chefchaouen	Chefchaouen	William John Gauthier from Denmark ([1])	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Chefchaouen_(52189357475).jpg
fishrivercanyon	Fish River Canyon	RudiBosbouer	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Fish_River_Canyon_from_Main_View_Point.jpg
lakeretba	Lake Retba	Arnault	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Lac_Rose_in_Senegal.jpg
